ticket_id,policy,task_success,diagnostic_contract_passed,routing_http_failures,agent_activations,controller_tokens,wall_seconds
support-fixture-01,support_rule_based,True,True,0,2,0,0.024615957983769476
support-fixture-02,support_rule_based,True,True,0,2,0,0.020115291990805417
support-fixture-03,support_rule_based,True,True,0,2,0,0.01983854203717783
support-fixture-04,support_rule_based,True,True,0,2,0,0.03998854098608717
support-fixture-05,support_rule_based,True,True,0,2,0,0.02003391698235646
support-fixture-06,support_rule_based,True,True,0,2,0,0.019967083993833512
support-fixture-07,support_rule_based,True,True,0,2,0,0.019964042003266513
support-fixture-08,support_rule_based,True,True,0,2,0,0.020713458012323827
support-fixture-09,support_rule_based,True,True,0,2,0,0.01993641600711271
support-fixture-10,support_rule_based,True,True,0,2,0,0.019954915973357856
support-fixture-11,support_rule_based,True,True,0,2,0,0.01990808401023969
support-fixture-12,support_rule_based,True,True,0,2,0,0.019837416999507695
support-fixture-01,support_http_model,False,False,0,8,4177,0.06598933303030208
support-fixture-02,support_http_model,False,False,0,8,4460,0.06641762499930337
support-fixture-03,support_http_model,False,False,0,1,1949,0.04128670901991427
support-fixture-04,support_http_model,False,False,0,8,5121,0.0687891659908928
support-fixture-05,support_http_model,False,False,0,8,4448,0.06624999997438863
support-fixture-06,support_http_model,False,False,0,8,4412,0.06581208296120167
support-fixture-07,support_http_model,False,False,0,8,4452,0.0673282920033671
support-fixture-08,support_http_model,False,False,0,8,3924,0.06376420799642801
support-fixture-09,support_http_model,False,False,0,8,3932,0.08357145899208263
support-fixture-10,support_http_model,False,False,0,8,3944,0.06599816598463804
support-fixture-11,support_http_model,False,False,0,8,3952,0.06483654101612046
support-fixture-12,support_http_model,False,False,0,8,4720,0.06622816697927192
